PLAYER,GP,AVG,TTL
TYLER HUNTLEY,5,8.0,40.1
GRAHAM GANO,5,7.8,39.0
KINGSTON DAVIS,16,2.4,38.7
ROMAN WILSON,14,2.8,38.6
CHRIS MOORE,13,3.0,38.6
TYLER JOHNSON,12,3.1,37.7
ELIJAH ARROYO,13,2.8,36.9
BROCK WRIGHT,11,3.3,36.8
ZAVIER SCOTT,10,3.7,36.5
JORDAN WHITTINGTON,16,2.3,36.3
CHARLIE KOLAR,16,2.3,36.2
CARTAVIOUS BIGSBY,15,2.4,36.2
HUNTER RENFROW,6,6.0,35.9
TAYSOM HILL,12,3.0,35.6
TREY BENSON,5,7.1,35.4
PHILIP LUTZENKIRCHEN,3,11.6,34.7
LILJORDAN HUMPHREY,9,3.8,34.6
HUNTER LUEPKE,16,2.2,34.4
KENDRE MILLER,7,4.8,33.3
JAMES CONNER,4,8.3,33.3
YOUNGHOE KOO,6,5.5,33.0
NOAH GRAY,15,2.2,32.8
AUDRIC ESTIME,6,5.4,32.5
HUNTER LONG,9,3.6,32.5
ADAM THIELEN,15,2.2,32.3
MITCHELL TINSLEY,12,2.6,31.6
AMEER ABDULLAH,12,2.6,31.4
TYLER BADIE,15,2.1,30.8
ZAY JONES,8,3.8,30.3
LUKE FARRELL,16,1.8,29.5
RAHEEM MOSTERT,12,2.4,29.4
JAWHAR JORDAN,3,9.8,29.4
JULIAN HILL,13,2.2,29.2
ELIJAH MOORE,9,3.2,28.6
CHATARIUS ATWELL,9,3.1,28.3
JALEN MCMILLAN,3,9.3,27.8
ISAIAH HODGINS,6,4.6,27.5
DREW SAMPLE,16,1.7,27.2
QUINN EWERS,3,8.9,26.8
MILES SANDERS,4,6.7,26.7
CHRISTOPHER BROOKS,16,1.7,26.6
BRADY COOK,4,6.6,26.4
JIMMY HORN,12,2.2,26.2
BEN SINNOTT,15,1.7,26.1
MALACHI CORLEY,12,2.2,25.8
TREYLON BURKS,7,3.7,25.8
SAVION WILLIAMS,12,2.1,25.5
MO ALIE-COX,16,1.6,25.5
BRYCEN TREMAYNE,15,1.7,25.3
KEVIN AUSTIN,7,3.6,25.3
KONATA MUMPFIELD,16,1.6,25.2
